StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q3
2019-11-14 18:23:13,2019-11-14 18:28:04,0,49.32.249.182,100,290,1,2019-11-14 18:28:04,R_3KK30JaKROpnyYG,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,6,5,7,4,3,1,1,2,"Since this beverage is not hot , I would prefer it to be with lemon "
2019-11-14 18:39:22,2019-11-14 18:45:40,0,198.86.29.22,100,378,1,2019-11-14 18:45:41,R_O3gOBk95UC4tnJ7,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,5,4,2,1,6,1,3,7,No iced tea?
2019-11-14 18:57:10,2019-11-14 18:59:29,0,49.36.12.62,100,139,1,2019-11-14 18:59:30,R_stiMyNXuRiTqN45,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,3,6,4,4,5,3,7,6,
2019-11-14 18:59:34,2019-11-14 19:02:05,0,49.36.10.217,100,151,1,2019-11-14 19:02:06,R_2WA7gyeQws5ajpe,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,1,7,7,1,1,7,1,"Green tea n black tea with lemon "
2019-11-14 19:22:54,2019-11-14 19:24:34,0,49.36.12.62,100,99,1,2019-11-14 19:24:34,R_11Xz6e4ZazuPFFQ,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,5,3,1,1,1,7,3,"Find it difficult to think of tea in a can "
2019-11-14 19:24:24,2019-11-14 19:26:01,0,49.36.10.217,100,97,1,2019-11-14 19:26:01,R_A5U5xnhRjcSEUeZ,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,2,4,4,5,5,5,6,3,
2019-11-14 20:30:25,2019-11-14 20:31:55,0,42.106.253.6,100,89,1,2019-11-14 20:31:55,R_3efyJX20U6OWVYm,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,6,2,1,4,3,3,6,
2019-11-14 21:22:15,2019-11-14 21:23:52,0,74.64.169.180,100,96,1,2019-11-14 21:23:52,R_1oAWxAdSYPsxhe1,,,,,40.76300048828125,-73.9925994873046875,anonymous,EN,1,1,7,4,1,7,4,1,
2019-11-14 21:39:16,2019-11-14 21:42:29,0,49.36.10.217,100,193,1,2019-11-14 21:42:29,R_1FLIm3DqLf8cNuq,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,4,5,5,5,4,7,3,
2019-11-14 21:45:23,2019-11-14 21:45:51,0,110.224.59.113,100,28,1,2019-11-14 21:45:52,R_1Op0ozzJviYIKVI,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,6,3,2,3,1,5,4,7,
2019-11-14 21:46:13,2019-11-14 21:47:15,0,42.107.158.213,100,61,1,2019-11-14 21:47:15,R_3iIKkBplFgiX5vp,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,3,3,6,4,5,6,4,4,"Try coffee next time, tea is boring "
2019-11-14 21:49:25,2019-11-14 21:50:35,0,171.51.221.169,100,70,1,2019-11-14 21:50:36,R_3GqbgAES2JzqWKo,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,1,1,1,5,4,7,4,
2019-11-14 21:40:12,2019-11-14 21:52:16,0,42.106.219.2,100,723,1,2019-11-14 21:52:17,R_3EXdiSRmtTzTdjh,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,5,1,3,6,1,4,2,"Should’ve had green tea sweetened decaf glass "
2019-11-15 08:32:24,2019-11-15 08:34:52,0,138.20.184.142,100,148,1,2019-11-15 08:34:52,R_yjXtZpFpCpgAklX,,,,,40.7653045654296875,-73.95890045166015625,anonymous,EN,4,5,3,3,3,2,3,5,
